sbi_trust_code,ER,title,fee,last_day,firm
20431B214,0.2191,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
204314208,0.2126,大和－ｉＦｒｅｅレバレッジ,1.275％以内,無期限,大和アセットマネジメント
28931317C,0.2068,ＳＢＩ－ＳＢＩ,0.968%,2023/12/05,ＳＢＩアセットマネジメント
29I31115A,0.206,楽天－楽天日本株４．３倍ブル,1.243%,2025/06/13,楽天投信投資顧問
20431720A,0.1988,大和－ＮＡＳＤＡＱ１００,通常時1.52375％以内／安定運用時0.088％,2023/10/20,大和アセットマネジメント
204313215,0.1813,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
210311222,0.1652,Ｔ＆Ｄ－Ｓ＆Ｐ５００・４倍ブル型ファンド,1.243％,2025/02/17,Ｔ＆Ｄアセットマネジメント
204312217,0.1524,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
203312215,0.1468,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
204314214,0.1449,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
203313215,0.1447,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
20331419B,0.1442,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞年２回決算型,null,null,null
20331319B,0.1441,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞資産成長型,null,null,null
204311181,0.143,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
203313195,0.1417,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
29I311096,0.1412,楽天－楽天日本株トリプル・ブル,1.023%,2025/06/13,楽天投信投資顧問
204315213,0.1411,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
204312212,0.1405,大和－ｉＦｒｅｅレバレッジ,1.169％程度,無期限,大和アセットマネジメント
202311207,0.1395,日興－デジタル・トランスフォーメーション株式ファンド,1.7985％,2030/06/07,日興アセットマネジメント
202311215,0.137,日興－デジタル・トランスフォーメーション株式ファンド（予想分配金提示型）,1.7985％,2030/06/07,日興アセットマネジメント
279311169,0.1351,三井住友ＤＳ－グローバルＡＩファンド,null,null,null
26431218A,0.1321,三井住友ＴＡＭ－ＳＭＴ,null,null,null
20431218A,0.1319,大和－ｉＦｒｅｅレバレッジ,0.99%,無期限,大和アセットマネジメント
289313218,0.1278,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
20231116C,0.1265,日興－グローバル・フィンテック株式ファンド,1.925%,2026/12/07,日興アセットマネジメント
202312179,0.1261,日興－グローバル・フィンテック株式ファンド（年２回決算型）,null,null,null
247312201,0.1254,Ｏｎｅ－Ｏｎｅフォーカス,null,null,null
289312218,0.1243,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
27931419A,0.1238,三井住友ＤＳ－グローバルＡＩファンド（予想分配金提示型）,null,null,null
203317211,0.1196,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド（予想分配金提示型）,1.6445％程度,2039/01/25,三菱ＵＦＪ国際投信
203311191,0.119,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド,1.6445%程度,2039/01/25,三菱ＵＦＪ国際投信
20331318C,0.1189,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
2AB311171,0.1185,ファイブスター－ベトナム・ロータス・ファンド,null,null,null
203312223,0.1183,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
242313177,0.1153,ピクテ－ｉＴｒｕｓｔプレミアム・ブランド,null,null,null
247316169,0.1149,Ｏｎｅ－グローバル・ハイクオリティ成長株式ファンド（為替ヘッジなし）,null,null,null
29A311128,0.1141,キャピタル－世界シェールガス株ファンド,null,null,null
20431216C,0.1123,大和－ベトナム株ファンド,null,null,null
242311162,0.1103,ピクテ－ｉＴｒｕｓｔロボ,null,null,null
20331218C,0.1082,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
203312968,0.1059,三菱ＵＦＪ国際－三菱ＵＦＪ,null,null,null
29A311196,0.1053,キャピタル－世界ツーリズム株式ファンド,null,null,null
29A311148,0.105,キャピタル－ベトナム成長株インカムファンド,null,null,null
247311156,0.1043,Ｏｎｅ－ＤＩＡＭベトナム株式ファンド,null,null,null
203315177,0.104,三菱ＵＦＪ国際－サイバーセキュリティ株式オープン（為替ヘッジなし）,1.87%,2032/06/04,三菱ＵＦＪ国際投信
203319211,0.1039,三菱ＵＦＪ国際－サイバーセキュリティ株式オープン為替ヘッジなし予想分配金提示型,null,null,null
204312211,0.1038,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
202312188,0.1029,日興－グローバル・スペース株式ファンド（１年決算型）,1.925%,2028/06/07,日興アセットマネジメント
209312134,0.1017,岡三－シェール関連株オープン,null,null,null
289312203,0.1017,ＳＢＩ－ＳＢＩ中国テクノロジー株ファンド,null,null,null
